,Title,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
1620,Cameraman: The Life and Work of Jack Cardiff,7.7,71,"1,152",1h 26min,13 May 2011 (USA),Craig McCall
1621,Secret Origin: The Story of DC Comics,7.7,N/A,"1,151",1h 30min,Video 9 November 2010,Mac Carter
1622,"Video Nasties: Moral Panic, Censorship & Videotape",7.8,N/A,"1,149",1h 12min,3 June 2014 (USA),Jake West
1623,This Is Elvis,7.5,N/A,"1,149",1h 50min,10 April 1981 (USA),Malcolm Leo
1624,Cane Toads: An Unnatural History,7.6,N/A,"1,147",47min,9 June 1988 (Australia),Mark Lewis
1625,Jerusalem,7.3,N/A,"1,146",44min,18 September 2013 (USA),Daniel Ferguson
1626,Neurons to Nirvana,7.7,N/A,"1,146",1h 25min,1 November 2013 (USA),Oliver Hockenhull
1627,I Like Killing Flies,7.3,71,"1,146",1h 20min,January 2004 (USA),Matt Mahurin
1628,The Sea,5.7,N/A,"1,146",1min,28 June 1896 (Finland),Louis Lumière
1629,Russell Brand: Messiah Complex,7.3,N/A,"1,145",1h 39min,Video 25 November 2013,Russell Brand
1630,The Take,7.7,66,"1,144",1h 27min,18 March 2005 (Italy),Avi Lewis
1631,The Forecaster,6.7,N/A,"1,143",1h 40min,7 May 2015 (Germany),Marcus Vetter
1632,Michael Jackson: The Life of an Icon,7.3,N/A,"1,143",2h 29min,2 November 2011 (UK),Andrew Eastel
1633,Out of Shadows,7.2,N/A,"1,143",1h 18min,11 April 2020 (USA),Mike Smith
1634,Boogeymen: The Killer Compilation,6.3,N/A,"1,141",56min,Video 2 October 2001,Andrew Robinson
1635,Nazi Concentration Camps,8.3,N/A,"1,141",59min,22 April 2017 (Australia),George Stevens
1636,Jason Becker: Not Dead Yet,8.1,70,"1,138",1h 27min,16 November 2012 (UK),Jesse Vile
1637,Kevin Smith: Too Fat for 40!,7.5,N/A,"1,138",2h,TV Special 22 October 2010,Joey Figueroa
1638,A Map for Saturday,7.8,N/A,"1,137",1h 30min,16 March 2007 (USA),Brook Silva-Braga
1639,Stephen Fry: The Secret Life of the Manic Depressive,8.1,N/A,"1,137",2h,TV Movie 19 September 2006,Ross Wilson
1640,From One Second to the Next,7.4,N/A,"1,136",34min,7 August 2013 (USA),Werner Herzog
1641,Steve Jobs: Billion Dollar Hippy,6.7,N/A,"1,136",50min,TV Movie 14 December 2011,Laura Craig Gray
1642,Blue Gold: World Water Wars,7.7,N/A,"1,135",1h 30min,16 January 2010 (Japan),Samuel Vartek
1643,Before Flying Back to Earth,8.7,N/A,"1,135",52min,16 June 2006 (USA),Arunas Matelis
1644,Quay,6.8,N/A,"1,134",8min,30 July 2016 (Russia),Christopher Nolan
1645,Kink,6.3,67,"1,133",1h 20min,19 January 2013 (USA),Christina Voros
1646,Pick of the Litter,7.6,64,"1,131",1h 20min,31 August 2018 (USA),Don Hardy
1647,Eat That Question: Frank Zappa in His Own Words,7.5,74,"1,131",1h 33min,8 December 2016 (Germany),Thorsten Schütte
1648,D & D & F: 'Dungeons & Dragons' & 'Futurama',8.0,N/A,"1,131",7min,Video 4 November 2008,David X. Cohen
1649,A Beautiful Planet,7.4,75,"1,130",46min,29 April 2016 (USA),Toni Myers
1650,Stanley Kubrick's Boxes,7.6,N/A,"1,130",48min,TV Movie 15 July 2008,Jon Ronson
1651,Jackie Chan: My Stunts,7.7,N/A,"1,130",1h 34min,Video 30 March 1999,Jackie Chan
1652,Screwball,7.1,72,"1,129",1h 45min,29 March 2019 (USA),Billy Corben
1653,Crusty Demons 18: Twenty Years of Fear,8.0,N/A,"1,129",1h 7min,23 September 2015 (USA),Christopher Folino
1654,What Would Jesus Buy?,6.4,N/A,"1,129",1h 31min,16 November 2007 (USA),Rob VanAlkemade
1655,Deutschland im Herbst,6.9,N/A,"1,128",2h 3min,17 March 1978 (West Germany),Rainer Werner Fassbinder
1656,Our Godfather,6.8,N/A,"1,127",1h 32min,10 September 2019 (Brazil),Mark Franchetti
1657,Pearl Jam: Touring Band 2000,8.6,N/A,"1,126",2h 5min,Video 1 May 2001,Jeff Ament
1658,Margaret Cho: I'm the One That I Want,7.5,81,"1,126",1h 36min,TV Special 4 August 2000,Lionel Coleman
1659,The Dunkirk Spirit: Behind the Making of the Movie,7.9,N/A,"1,127",N/A,12 February 2018 (USA),Tom Hardy
1660,Roman Polanski: A Film Memoir,7.1,N/A,"1,125",1h 30min,18 May 2012 (Italy),Laurent Bouzereau
1661,Kevin Smith: Burn in Hell,7.6,N/A,"1,125",1h 29min,TV Special 11 February 2012,Joey Figueroa
1662,Showrunners: The Art of Running a TV Show,6.7,68,"1,125",1h 30min,17 October 2014 (Ireland),Des Doyle
1663,A Very British Gangster,6.2,N/A,"1,123",1h 37min,7 December 2007 (UK),Donal MacIntyre
1664,Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,6.8,N/A,"1,123",1h 35min,24 August 2018 (USA),Randall Lobb
1665,Beer Wars,6.9,N/A,"1,121",1h 29min,16 April 2009 (USA),Anat Baron
1666,Fat Fiction,8.1,N/A,"1,120",1h 55min,13 March 2020 (USA),Jennifer Isenhart
1667,Live 8,7.6,N/A,"1,120",8h,TV Special 2 July 2005,Bruce Gowers
1668,Anima Mundi,7.6,N/A,"1,120",28min,24 April 1991 (USA),Godfrey Reggio
1669,Manda Bala (Send a Bullet),7.2,71,"1,118",1h 25min,19 April 2009 (Greece),Jason Kohn
1670,Primary,7.1,N/A,"1,118",1h,1960 (USA),Robert Drew
1671,Happy Valley,7.1,76,"1,116",1h 38min,21 November 2014 (USA),Amir Bar-Lev
1672,A Place at the Table,6.8,68,"1,115",1h 24min,1 March 2013 (USA),Kristi Jacobson
1673,Arirang,6.9,N/A,"1,114",1h 40min,26 January 2012 (Germany),Ki-duk Kim
1674,War Dance,7.8,68,"1,113",1h 45min,25 April 2008 (Taiwan),Sean Fine
1675,Beauty Is Embarrassing,7.4,72,"1,112",1h 28min,28 September 2012 (Canada),Neil Berkeley
1676,Tokyo Idols,6.9,N/A,"1,111",1h 30min,27 June 2017 (UK),Kyoko Miyake
1677,The Final Member,6.5,67,"1,110",1h 15min,18 April 2014 (USA),Jonah Bekhor
1678,Flow: For Love of Water,7.6,67,"1,110",1h 24min,15 December 2011 (Croatia),Irena Salina
1679,Midnight Family,7.4,81,"1,109",1h 21min,6 March 2020 (Mexico),Luke Lorentzen
1680,Awake: The Life of Yogananda,7.3,N/A,"1,106",1h 27min,10 October 2014 (USA),Paola di Florio
1681,Annie Oakley,6.2,N/A,"1,104",1min,1 November 1894 (USA),William K.L. Dickson
1682,Minecraft: The Story of Mojang,7.2,N/A,"1,103",1h 38min,23 December 2012 (USA),Paul Owens
1683,Accordion Player,5.5,N/A,"1,103",1min,October 1888 (UK),Louis Aimé Augustin Le Prince
1684,Man Walking Around the Corner,5.2,N/A,"1,102",1min,1887 (UK),Louis Aimé Augustin Le Prince
1685,Top Gear: At the Movies,7.4,N/A,"1,101",1h 17min,Video 14 October 2011,Phil Churchward
1686,Ballet 422,6.2,74,"1,100",1h 15min,19 April 2014 (USA),Jody Lee Lipes
1687,Ghosts of Sugar Land,5.5,N/A,"1,099",21min,16 October 2019 (USA),Bassam Tariq
1688,Sky Ladder: The Art of Cai Guo-Qiang,7.3,73,"1,099",1h 16min,14 October 2016 (UK),Kevin Macdonald
1689,TimeScapes,7.8,N/A,"1,099",52min,17 April 2012 (USA),Tom Löwe
1690,Chambre 666,6.5,N/A,"1,098",45min,TV Movie 23 January 1985,Wim Wenders
1691,On the Way to School,7.4,N/A,"1,097",1h 17min,25 September 2013 (France),Pascal Plisson
1692,Orwell Rolls in His Grave,8.0,N/A,"1,097",1h 24min,19 November 2004 (UK),Robert Kane Pappas
1693,The Decline of Western Civilization Part III,7.1,77,"1,097",1h 26min,13 November 1998 (USA),Penelope Spheeris
1694,O Processo,7.2,N/A,"1,096",2h 20min,17 May 2018 (Brazil),Maria Ramos
1695,AC/DC: Let There Be Rock,8.4,N/A,"1,096",1h 35min,14 September 1980 (USA),Eric Dionysius
1696,The Spirit of '45,7.1,N/A,"1,095",1h 34min,15 March 2013 (UK),Ken Loach
1697,Innsaei,6.7,N/A,"1,094",1h 15min,30 June 2016 (Germany),Hrund Gunnsteinsdottir
1698,How to Change the World,7.6,77,"1,094",1h 50min,9 September 2015 (UK),Jerry Rothwell
1699,Lewis & Clark: The Journey of the Corps of Discovery,8.5,N/A,"1,094",4h,TV Movie 4 November 1997,Ken Burns
1700,Chaos on the Bridge,7.1,N/A,"1,092",59min,TV Movie 25 August 2014,William Shatner
1701,The American Scream,6.9,N/A,"1,092",1h 31min,23 September 2012 (USA),Michael Paul Stephenson
1702,Too Funny to Fail: The Life & Death of The Dana Carvey Show,7.7,N/A,"1,091",1h 32min,21 October 2017 (USA),Josh Greenbaum
1703,Sexy Baby,6.1,N/A,"1,091",1h 24min,23 December 2014 (USA),Jill Bauer
1704,Black Panthers,7.2,N/A,"1,091",31min,1968 (France),Agnès Varda
1705,How much Wood would a Woodchuck chuck... - Beobachtungen zu einer neuen Sprache,6.4,N/A,"1,091",44min,TV Short September 1976,Werner Herzog
1706,American Boy: A Profile of - Steven Prince,7.3,N/A,"1,090",55min,October 1978 (USA),Martin Scorsese
1707,Ekümenopolis: Ucu olmayan sehir,8.2,N/A,"1,089",1h 28min,4 May 2012 (Turkey),Imre Azem
1708,Nostradamus: 2012,4.8,N/A,"1,089",2h,TV Movie 4 January 2009,Andy Pickard
1709,The Crimson Wing: Mystery of the Flamingos,7.3,N/A,"1,089",1h 18min,25 September 2009 (UK),Matthew Aeberhard
1710,The Year of the Yao,7.3,62,"1,087",1h 28min,2 June 2005 (Singapore),Adam Del Deo
1711,Les statues meurent aussi,7.6,N/A,"1,088",30min,May 1953 (France),Ghislain Cloquet
1712,Rammstein in Amerika,8.2,N/A,"1,086",1h 31min,25 September 2015 (USA),Hannes Rossacher
1713,Misery Loves Comedy,6.3,N/A,"1,085",1h 34min,14 April 2015 (USA),Kevin Pollak
1714,Master of the Universe,7.2,72,"1,085",1h 28min,7 November 2013 (Germany),Marc Bauder
1715,Searching for Debra Winger,6.3,N/A,"1,085",1h 39min,13 July 2002 (USA),Rosanna Arquette
1716,In the Absence,7.7,N/A,"1,083",28min,9 November 2018 (USA),Seung-jun Yi
1717,What Our Fathers Did: A Nazi Legacy,7.0,69,"1,083",1h 36min,April 2015 (USA),David Evans
1718,Louis Theroux: The City Addicted to Crystal Meth,7.4,N/A,"1,083",1h,TV Movie 9 August 2009,Geoffrey O'Connor
1719,"Fist of Fear, Touch of Death",2.3,N/A,"1,082",1h 22min,23 May 1980 (USA),Matthew Mallinson
1720,A Murder in the Park,7.3,70,"1,081",1h 31min,26 June 2015 (USA),Shawn Rech
1721,And Everything Is Going Fine,7.1,76,"1,081",1h 29min,January 2010 (USA),Steven Soderbergh
1722,Missing 411,6.4,N/A,"1,078",1h 38min,2016 (USA),Michael DeGrazier
1723,Necessary Evil: Super-Villains of DC Comics,6.8,N/A,"1,078",1h 39min,1 July 2020 (USA),Scott Devine
1724,Mondo Topless,5.0,N/A,"1,078",1h,1 October 1966 (USA),Russ Meyer
1725,Ryuichi Sakamoto: Coda,7.7,78,"1,077",1h 40min,14 June 2018 (South Korea),Stephen Nomura Schible
1726,Heavy Metal in Baghdad,7.7,N/A,"1,077",1h 24min,23 May 2008 (USA),Suroosh Alvi
1727,Small Town Gay Bar,7.0,N/A,"1,077",1h 16min,January 2006 (USA),Malcolm Ingram
1728,Searching for the Wrong-Eyed Jesus,7.7,N/A,"1,077",1h 22min,5 May 2004 (USA),Andrew Douglas
1729,Blood Into Wine,7.2,N/A,"1,076",1h 40min,19 February 2010 (USA),Ryan Page
1730,Do Not Resist,7.0,69,"1,075",1h 12min,23 February 2017 (Germany),Craig Atkinson
1731,Vanishing of the Bees,7.1,N/A,"1,075",1h 27min,9 October 2009 (UK),Maryam Henein
1732,The Fearless Freaks,7.8,78,"1,075",1h 43min,13 March 2005 (USA),Bradley Beesley
1733,The Compleat Beatles,8.2,N/A,"1,073",1h 59min,Video October 1982,Patrick Montgomery
1734,Jazz on a Summer's Day,8.0,N/A,"1,073",1h 25min,20 April 1960 (France),Bert Stern
1735,Patton Oswalt: My Weakness Is Strong,7.6,N/A,"1,073",1h 4min,TV Special 25 August 2009,Jason Woliner
1736,War Made Easy: How Presidents & Pundits Keep Spinning Us to Death,7.9,N/A,"1,072",1h 13min,14 May 2007 (USA),Loretta Alper
1737,The Iceman and the Psychiatrist,7.6,N/A,"1,071",48min,TV Movie 2003,Arthur Ginsberg
1738,A Respectable Life,7.8,N/A,"1,071",1h 42min,26 March 1979 (Sweden),Stefan Jarl
1739,ReMastered: Tricky Dick and the Man in Black,7.2,N/A,"1,070",59min,TV Movie 2018,Sara Dosa
1740,Hoaxed,7.4,N/A,"1,070",2h 5min,24 January 2019 (USA),Scooter Downey
1741,Aquarela,6.6,80,"1,070",1h 30min,12 December 2019 (Germany),Viktor Kosakovskiy
1742,Scotty and the Secret History of Hollywood,6.6,67,"1,070",1h 38min,27 July 2018 (USA),Matt Tyrnauer
1743,Ex Libris: New York Public Library,7.4,91,"1,069",3h 17min,1 November 2017 (France),Frederick Wiseman
1744,El Bulli: Cooking in Progress,6.4,61,"1,067",1h 48min,15 September 2011 (Germany),Gereon Wetzel
1745,Bring The Soul: The Movie,8.1,N/A,"1,067",1h 43min,7 August 2019 (South Korea),Jun-Soo Park
1746,Lumière!,8.1,N/A,"1,065",1h 30min,25 January 2017 (France),Thierry Frémaux
1747,Blue Collar Comedy Tour: One for the Road,7.3,N/A,"1,065",1h 48min,TV Special 15 June 2006,C.B. Harding
1748,ZZ Top: That Little Ol' Band from Texas,7.5,64,"1,063",1h 31min,4 September 2019 (Australia),Sam Dunn
1749,Living with Michael Jackson: A Tonight Special,5.5,N/A,"1,063",1h 50min,TV Movie 6 February 2003,Julie Shaw
1750,Takaisin pintaan,7.1,N/A,"1,061",1h 30min,19 February 2016 (Finland),Juan Reina
1751,The Source Family,6.9,62,"1,060",1h 38min,28 September 2013 (Australia),Maria Demopoulos
1752,Author: The JT LeRoy Story,7.1,72,"1,056",1h 50min,29 July 2016 (UK),Jeff Feuerzeig
1753,Bill Maher: The Decider,7.2,N/A,"1,056",1h,TV Special 21 July 2007,John Moffitt
1754,Marvel Studios: Assembling a Universe,7.5,N/A,"1,055",43min,TV Short 18 March 2014,Axel Alonso
1755,Rubble Kings,7.1,62,"1,055",1h 11min,23 October 2010 (USA),Shan Nicholson
1756,Trekkies 2,6.4,N/A,"1,055",1h 33min,20 April 2004 (USA),Roger Nygard
1757,Saturday Night Live: The Best of Eddie Murphy,7.5,N/A,"1,055",1h 17min,Video 22 August 1998,Andy Breckman
1758,Sari zeybek,8.5,N/A,"1,055",44min,TV Short 1993,Can Dündar
1759,First Descent,7.1,N/A,"1,054",1h 50min,2 December 2005 (USA),Kemp Curly
1760,The Other Side,6.7,65,"1,053",1h 32min,28 May 2015 (Italy),Roberto Minervini
1761,A Haunting in Connecticut,6.9,N/A,"1,053",1h 34min,TV Movie 18 October 2002,John Kavanaugh
1762,"Thelonious Monk: Straight, No Chaser",7.6,N/A,"1,052",1h 30min,1 October 1989 (USA),Charlotte Zwerin
1763,An Evening with Robin Williams,8.0,N/A,"1,050",1h,TV Special 12 March 1983,Don Mischer
1764,Snuff: A Documentary About Killing on Camera,5.3,N/A,"1,049",1h 16min,13 June 2008 (USA),Paul von Stoetzel
1765,The Trials of Muhammad Ali,7.3,74,"1,048",1h 26min,5 May 2013 (USA),Bill Siegel
1766,The Basque Ball: Skin Against Stone,7.1,N/A,"1,047",1h 50min,3 October 2003 (Spain),Julio Medem
1767,Louis Theroux: Transgender Kids,7.1,N/A,"1,046",59min,TV Movie 5 April 2015,Tom Barrow
1768,Jimi Plays Monterey,8.2,N/A,"1,046",50min,16 October 1987 (Denmark),Chris Hegedus
1769,You Laugh But It's True,7.2,N/A,"1,045",1h 24min,13 December 2013 (USA),David Paul Meyer
1770,The Garden of Afflictions,6.4,N/A,"1,044",1h 21min,11 May 2017 (Brazil),Josias Teófilo
1771,Homework,7.8,N/A,"1,044",1h 26min,1 January 1989 (Italy),Abbas Kiarostami
1772,Kings of Pastry,6.9,69,"1,043",1h 27min,June 2010 (USA),Chris Hegedus
1773,Ferrell Takes the Field,5.8,N/A,"1,042",49min,TV Movie 12 September 2015,Brian McGinn
1774,Cabra Marcado Para Morrer,8.4,N/A,"1,042",1h 59min,6 December 1984 (Brazil),Eduardo Coutinho
1775,Sandow: The Strong Man,5.3,N/A,"1,041",1min,18 May 1894 (USA),William K.L. Dickson
1776,Unzipped,6.5,N/A,"1,041",1h 13min,11 August 1995 (USA),Douglas Keeve
1777,Cidade de Deus: 10 Anos Depois,6.4,N/A,"1,040",1h 10min,20 October 2014 (USA),Cavi Borges
1778,Hamilton's America,8.3,N/A,"1,039",1h 30min,TV Movie 21 October 2016,Alex Horwitz
1779,"The Rolling Stones Olé, Olé, Olé!: A Trip Across Latin America",7.5,72,"1,039",1h 45min,25 November 2016 (Poland),Paul Dugdale
1780,William S. Burroughs: A Man Within,7.2,63,"1,039",1h 27min,12 December 2010 (Chile),Yony Leyser
1781,Which Way Home,7.8,N/A,"1,038",1h 30min,31 January 2009 (USA),Rebecca Cammisa
1782,Resistance is Life,8.1,N/A,"1,037",1h 13min,April 2017 (USA),Apo W. Bazidi
1783,Louis Theroux's African Hunting Holiday,7.1,N/A,"1,037",58min,TV Movie 6 April 2008,Paddy Wivell
1784,Doug Stanhope: No Refunds,8.2,N/A,"1,036",1h 1min,Video 3 August 2007,Milton Lage
1785,Training 'John Wick',7.9,N/A,"1,035",12min,Video 13 June 2017,Josh Oreck
1786,Eagles: Hell Freezes Over,8.5,N/A,"1,035",1h 40min,TV Special 26 October 1994,Beth McCarthy-Miller
1787,Incident at Oglala,7.5,N/A,"1,034",1h 29min,26 June 1992 (USA),Michael Apted
1788,To the Arctic 3D,6.5,N/A,"1,033",40min,20 April 2012 (USA),Greg MacGillivray
1789,The Clash: Westway to the World,7.8,N/A,"1,033",1h,Video,Don Letts
1790,The Beales of Grey Gardens,7.3,N/A,"1,031",1h 31min,21 July 2006 (USA),Albert Maysles
1791,Heaven Adores You,6.9,N/A,"1,030",1h 44min,5 May 2014 (USA),Nickolas Dylan Rossi
1792,Full Metal Village,7.1,N/A,"1,030",1h 30min,19 April 2007 (Germany),Sung Hyung Cho
1793,Darkon,6.8,N/A,"1,030",1h 33min,11 March 2006 (USA),Luke Meyer
1794,"André Hazes, zij gelooft in mij",7.3,N/A,"1,030",1h 26min,27 January 2000 (Netherlands),John Appel
1795,Dark Star: HR Gigers Welt,7.0,62,"1,027",1h 35min,18 August 2015 (USA),Belinda Sallin
1796,The Great Buster,7.5,71,"1,026",1h 42min,5 October 2018 (USA),Peter Bogdanovich
1797,Get Lamp,7.3,N/A,"1,026",1h 18min,26 March 2010 (USA),Jason Scott Sadofsky
1798,"Buy the Ticket, Take the Ride: Hunter S. Thompson on Film",7.3,N/A,"1,026",1h 13min,12 December 2006 (USA),Tom Thurman
1799,Living in Emergency,8.0,76,"1,025",2h,14 December 2009 (USA),Mark N. Hopkins
1800,Muhammad Ali: The Whole Story,8.2,N/A,"1,025",5h 48min,TV Movie 3 September 1996,Joseph Consentino
1801,Louis Theroux: The Ultra Zionists,7.3,N/A,"1,024",1h,TV Movie 3 February 2011,Andy Wells
1802,Stoked: The Rise and Fall of Gator,7.2,69,"1,024",1h 22min,25 June 2004 (UK),Helen Stickler
1803,Tupac Shakur: Thug Angel,7.8,N/A,"1,023",1h 32min,March 2002 (USA),Peter Spirer
1804,Capital in the Twenty-First Century,7.3,70,"1,022",1h 43min,3 April 2020 (USA),Justin Pemberton
1805,Julianes Sturz in den Dschungel,7.6,N/A,"1,021",1h 5min,TV Movie 1 February 2000,Werner Herzog
1806,Faces of Death IV,3.2,N/A,"1,021",1h 30min,28 November 1990 (Germany),John Alan Schwartz
1807,"Accidental Courtesy: Daryl Davis, Race & America",7.7,63,"1,019",1h 36min,23 February 2017 (USA),Matthew Ornstein
1808,Beastie Boys: Video Anthology,8.3,N/A,"1,017",1h 53min,Video 21 November 2000,Evan Bernard
1809,Louis Theroux: Drinking to Oblivion,7.7,N/A,"1,016",59min,TV Movie 24 April 2016,Tom Barrow
1810,Doug Stanhope: Beer Hall Putsch,7.6,N/A,"1,016",1h 1min,TV Special 6 September 2013,Jay Karas
1811,Camp 14: Total Control Zone,7.4,70,"1,016",1h 46min,8 November 2012 (Germany),Marc Wiese
1812,The Nomi Song,7.3,71,"1,016",1h 38min,24 March 2005 (Germany),Andrew Horn
1813,Making Waves: The Art of Cinematic Sound,7.6,80,"1,015",1h 34min,25 October 2019 (USA),Midge Costin
1814,The End of the Line,7.5,68,"1,015",1h 25min,12 June 2009 (UK),Rupert Murray
1815,$ellebrity,5.5,N/A,"1,014",1h 29min,11 January 2013 (USA),Kevin Mazur
1816,Brené Brown: The Call to Courage,7.7,N/A,"1,014",1h 16min,19 April 2019 (USA),Sandra Restrepo
1817,The Buddha,7.7,N/A,"1,013",2h,TV Movie 17 April 2010,David Grubin
1818,Lee Evans: XL Tour Live 2005,8.3,N/A,"1,013",2h 21min,Video 28 November 2005,Tom Poole
1819,Saving Banksy,6.8,73,"1,012",1h 20min,13 January 2017 (USA),Colin M. Day
1820,Shake Hands with the Devil: The Journey of Roméo Dallaire,8.1,80,"1,012",1h 30min,January 2005 (USA),Peter Raymont
1821,Unknown White Male,6.6,65,"1,011",1h 28min,January 2005 (USA),Rupert Murray
1822,After Tiller,7.4,75,"1,010",1h 25min,10 January 2014 (UK),Martha Shane
1823,The Case Against 8,7.3,N/A,"1,010",1h 49min,1 December 2014 (Belgium),Ben Cotner
1824,Anne Frank Remembered,8.0,N/A,"1,010",1h 57min,8 June 1995 (USA),Jon Blair
1825,Tongues Untied,6.8,N/A,"1,010",55min,July 1989 (USA),Marlon Riggs
1826,Druga strana svega,8.1,83,"1,009",1h 40min,24 October 2018 (France),Mila Turajlic
1827,Chasing Madoff,6.3,N/A,"1,008",1h 31min,26 August 2011 (USA),Jeff Prosserman
1828,A.K.,7.0,N/A,"1,008",1h 11min,29 January 1986 (USA),Chris Marker
1829,Chris Brown: Welcome To My Life,5.7,N/A,"1,007",1h 20min,8 June 2017 (USA),Andrew Sandler
1830,Child of Rage,7.3,N/A,"1,007",27min,TV Short 1 January 1990,Joel Craiger
1831,"That's It, That's All.",8.4,N/A,"1,007",1h,15 November 2008 (USA),Curt Morgan
1832,Divine Trash,7.7,N/A,"1,006",1h 37min,18 January 1998 (USA),Steve Yeager
1833,Directed by John Ford,7.7,N/A,"1,006",1h 39min,6 October 1971 (USA),Peter Bogdanovich
1834,Fury of the Demon,7.9,N/A,"1,005",1h,29 March 2017 (France),Fabien Delage
1835,Wanderers,7.5,N/A,"1,005",4min,11 October 2014 (USA),Erik Wernquist
1836,Saving Mes Aynak,9.1,N/A,"1,005",1h,1 July 2015 (USA),Brent E. Huffman
1837,The One Percent,6.8,N/A,"1,005",N/A,29 April 2006 (USA),Jamie Johnson
1838,The Godfather Family: A Look Inside,7.8,N/A,"1,005",1h 13min,TV Movie 12 July 1990,Jeff Werner
1839,Madonna: Sticky & Sweet Tour,8.5,N/A,"1,004",2h 10min,Video 31 March 2010,Nathan Rissman
1840,Jaco,7.7,N/A,"1,002",1h 50min,3 December 2016 (Japan),Stephen Kijak
1841,The Elephant in the Living Room,7.3,69,"1,002",1h 36min,2010 (USA),Michael Webber
1842,A State of Mind,7.7,63,"1,002",1h 33min,2004 (UK),Daniel Gordon
1843,Seymour: An Introduction,7.4,83,"1,001",1h 24min,10 September 2015 (Netherlands),Ethan Hawke
1844,Jogo de Cena,8.5,N/A,"1,000",1h 40min,2007 (Brazil),Eduardo Coutinho
1845,Trumbo,7.4,71,"1,000",1h 36min,27 June 2008 (USA),Peter Askin
1846,Rock School,6.4,67,"1,000",1h 33min,7 July 2005 (Australia),Don Argott
1847,Bowie: The Man Who Changed the World,5.3,N/A,999,1h 25min,9 May 2016 (UK),Sonia Anderson
1848,Codebreaker,7.0,N/A,998,1h 2min,TV Movie 21 November 2011,Clare Beavan
1849,Albert Fish: In Sin He Found Salvation,5.7,N/A,998,1h 26min,27 March 2007 (USA),John Borowski
1850,Madonna: The Girlie Show - Live Down Under,8.6,N/A,998,2h,TV Special 20 November 1993,Mark Aldo Miceli
1851,The Panama Papers,7.2,76,996,1h 36min,6 October 2018 (USA),Alex Winter
1852,Patterns of Evidence: Exodus,7.2,N/A,996,1h 55min,19 January 2015 (USA),Tim Mahoney
1853,The Trials of Darryl Hunt,7.5,N/A,996,1h 46min,January 2006 (USA),Ricki Stern
1854,S21: The Khmer Rouge Killing Machine,7.3,75,996,1h 41min,11 February 2004 (France),Rithy Panh
1855,Survivors Guide To Prison,7.1,66,995,1h 42min,23 February 2018 (USA),Matthew Cooke
1856,Super Duper Alice Cooper,7.3,N/A,995,1h 38min,22 April 2014 (UK),Sam Dunn
1857,Monty Python's Flying Circus: Live at Aspen,7.9,N/A,994,58min,TV Special 21 March 1998,Paul Miller
1858,Shah Rukh Khan: In Love with Germany,7.6,N/A,992,1h 41min,Video,Gareth Jefferson Jones
1859,The Panama Deception,7.6,N/A,991,1h 31min,31 July 1992 (USA),Barbara Trent
1860,Tiexi qu,8.4,N/A,989,9h 11min,9 June 2004 (France),Bing Wang
1861,Visitors,6.1,62,988,1h 27min,4 April 2014 (Ireland),Godfrey Reggio
1862,Grass is Greener,7.1,N/A,988,1h 37min,20 April 2019 (USA),Fab 5 Freddy
1863,You're Gonna Miss Me,7.6,64,988,1h 31min,15 March 2005 (USA),Keven McAlester
1864,Seeing Allred,6.8,68,987,1h 36min,9 February 2018 (USA),Roberta Grossman
1865,Superswede: En film om Ronnie Peterson,7.2,N/A,987,1h 28min,16 August 2017 (Sweden),Henrik Jansson-Schweizer
1866,Bill Nye: Science Guy,6.1,73,987,1h 41min,12 March 2017 (USA),David Alvarado
1867,The Return to Homs,7.7,85,987,1h 34min,13 February 2014 (UK),Talal Derki
1868,Kevin James: Sweat the Small Stuff,7.5,N/A,987,1h,TV Special 23 July 2001,Paul Miller
1869,Louis Theroux: America's Most Dangerous Pets,7.2,N/A,986,59min,TV Movie 30 October 2011,Jamie Pickup
1870,Feels Good Man,7.5,79,986,1h 32min,28 August 2020 (USA),Arthur Jones
1871,Blow Job,4.7,N/A,986,35min,N/A,Andy Warhol
1872,Eddie: Strongman,7.5,N/A,984,1h 38min,8 August 2015 (UK),Matt Bell
1873,The End of Suburbia: Oil Depletion and the Collapse of the American Dream,7.5,N/A,984,1h 18min,5 May 2004 (Canada),Gregory Greene
1874,Australia's Lost Gold: The Legend of Lasseter,8.2,N/A,983,1h 41min,27 May 2016 (USA),Luke Walker
1875,Earth 2100,6.7,N/A,982,1h 24min,TV Movie 2 June 2009,Rudy Bednar
1876,Undergångens arkitektur,8.1,N/A,981,1h 59min,13 October 1989 (Sweden),Peter Cohen
1877,Grace Jones: Bloodlight and Bami,6.2,75,980,1h 55min,13 April 2018 (USA),Sophie Fiennes
1878,Naked Ambition: An R Rated Look at an X Rated Industry,4.9,N/A,980,1h 21min,30 April 2009 (USA),Michael Grecco
1879,Dark Horse,7.3,75,978,1h 25min,17 April 2015 (UK),Louise Osmond
1880,Nirvana: Live at the Paramount,8.7,N/A,978,1h 12min,27 September 2011 (USA),Mark Racco
1881,Jonestown: Paradise Lost,7.2,N/A,977,1h 40min,TV Movie 15 January 2007,Tim Wolochatiuk
1882,Mr. Warmth: The Don Rickles Project,7.7,N/A,976,1h 29min,4 December 2007 (USA),John Landis
